Characteristic,Low-grade (G1–G2),High-grade (G3),p
"Postoperative day-1 albumin (g/dL), n = 147/55",3.47 ± 0.44,3.11 ± 0.55,<0.001 ***
"Length of stay (days), n = 155/54",8.00 (7.00–11.00),12.00 (8.00–19.75),<0.001 ***
"Total lymph nodes harvested, n = 146/54",29.57 ± 10.91,29.89 ± 15.28,0.888
"Pelvic lymph nodes harvested, n = 146/54",23.43 ± 8.35,21.17 ± 10.15,0.110
"Para-aortic lymph nodes harvested, n = 146/54",5.00 (2.25–8.00),8.50 (3.00–12.75),0.014 *
"Lymphadenectomy performed, n = 166/58",146 (88.0%),54 (93.1%),0.275
ER assessed and positive,131 (78.9%),28 (47.5%),—
ER not assessed,14 (8.4%),23 (39.0%),—
ER no record,21 (12.7%),8 (13.6%),—
PR assessed and positive,128 (77.1%),27 (45.8%),—
PR not assessed,17 (10.2%),24 (40.7%),—
PR no record,21 (12.7%),8 (13.6%),—
