algorithm,feature_set,p,n,events,auc,lo,hi
LogReg_EN,Set A,8,224,59,0.5309,0.445,0.6186
LogReg_EN,Set A-full,14,224,59,0.521,0.4323,0.6099
LogReg_EN,Set B,3,181,48,0.6837,0.5878,0.7781
LogReg_EN,Set C,11,181,48,0.662,0.5673,0.7541
SVM_RBF,Set A,8,224,59,0.4421,0.3561,0.5269
SVM_RBF,Set A-full,14,224,59,0.4362,0.3522,0.5212
SVM_RBF,Set B,3,181,48,0.648,0.553,0.7409
SVM_RBF,Set C,11,181,48,0.6429,0.5462,0.7356
KNN,Set A,8,224,59,0.4693,0.3787,0.5596
KNN,Set A-full,14,224,59,0.5092,0.4228,0.5938
KNN,Set B,3,181,48,0.613,0.5084,0.7172
KNN,Set C,11,181,48,0.6463,0.5598,0.731
RandomForest,Set A,8,224,59,0.541,0.45,0.6291
RandomForest,Set A-full,14,224,59,0.5602,0.4657,0.6494
RandomForest,Set B,3,181,48,0.617,0.5138,0.7128
RandomForest,Set C,11,181,48,0.641,0.5456,0.7367
ExtraTrees,Set A,8,224,59,0.5063,0.412,0.6
ExtraTrees,Set A-full,14,224,59,0.5193,0.4271,0.6119
ExtraTrees,Set B,3,181,48,0.6562,0.5542,0.7518
ExtraTrees,Set C,11,181,48,0.6435,0.5476,0.7363
GradBoost,Set A,8,224,59,0.5866,0.4971,0.671
GradBoost,Set A-full,14,224,59,0.5931,0.5024,0.6823
GradBoost,Set B,3,181,48,0.5783,0.4777,0.6723
GradBoost,Set C,11,181,48,0.602,0.5031,0.6951
XGBoost,Set A,8,224,59,0.5439,0.4558,0.6261
XGBoost,Set A-full,14,224,59,0.5779,0.4883,0.6654
XGBoost,Set B,3,181,48,0.5948,0.4953,0.6915
XGBoost,Set C,11,181,48,0.6275,0.528,0.7211
LightGBM,Set A,8,224,59,0.5399,0.4483,0.6291
LightGBM,Set A-full,14,224,59,0.5605,0.4719,0.6495
LightGBM,Set B,3,181,48,0.5443,0.442,0.6389
LightGBM,Set C,11,181,48,0.5996,0.5025,0.6966
CatBoost,Set A,8,224,59,0.5691,0.4772,0.659
CatBoost,Set A-full,14,224,59,0.5706,0.4756,0.6606
CatBoost,Set B,3,181,48,0.581,0.4817,0.6752
CatBoost,Set C,11,181,48,0.622,0.5259,0.7175
